hhid,num_inds,children_ind,hh_income_ind,age_ind,home_value_ind,state,total_amount_before_campaign,total_amount_during_campaign,total_transactions
2,13,2+,51 to 100,50-59,noValue,MD,4.52,4.38,5
4,12,2+,51 to 100,noValue,noValue,LA,14.05,13.49,5
5,10,2+,51 to 100,20-29,101 to 200,CA,16.01,3.09,6
7,5,2+,51 to 100,30-39,noValue,LA,8.98,5.86,6
13,8,2+,101 to 150,noValue,noValue,MI,6.24,3.1,4
23,14,2+,0 to 50,30-39,noValue,MD,5.87,7.51,8
31,8,2+,0 to 50,40-49,noValue,AL,7.58,2.21,4
32,18,0,0 to 50,30-39,0 to 100,MD,3.0,1.04,2
42,28,2+,0 to 50,noValue,noValue,NJ,3.35,6.1,3
43,12,2+,51 to 100,30-39,101 to 200,MI,7.06,7.0,5
48,5,0,0 to 50,noValue,noValue,NH,0.88,5.17,3
59,26,1,51 to 100,30-39,501+,DC,11.14,5.85,4
62,11,0,0 to 50,60-64,noValue,CA,4.93,10.18,6
68,14,0,51 to 100,20-29,noValue,CA,10.09,11.13,6
70,9,2+,51 to 100,40-49,noValue,PA,3.56,1.39,2
72,6,0,0 to 50,noValue,noValue,FL,1.92,4.73,3
75,17,2+,51 to 100,50-59,201 to 500,MA,18.39,7.23,9
78,12,0,noValue,40-49,noValue,LA,13.81,3.61,5
81,7,0,51 to 100,60-64,501+,NY,18.4,6.08,7
85,8,2+,0 to 50,65+,noValue,FL,10.25,2.94,6
92,16,0,0 to 50,50-59,noValue,VA,9.05,6.88,6
95,12,2+,51 to 100,20-29,noValue,KY,5.63,3.82,6
98,6,0,0 to 50,50-59,0 to 100,KY,20.73,12.62,10
103,15,2+,0 to 50,65+,noValue,MS,7.81,12.56,4
104,24,0,noValue,50-59,201 to 500,CA,3.67,4.45,4
110,14,2+,51 to 100,20-29,101 to 200,GA,2.13,5.23,2
112,11,2+,0 to 50,40-49,0 to 100,VA,3.97,5.66,4
114,6,2+,51 to 100,40-49,0 to 100,GA,1.72,0.52,2
115,9,2+,0 to 50,30-39,0 to 100,IN,12.43,0.13,7
119,20,2+,101 to 150,noValue,101 to 200,PA,11.08,5.55,5
122,10,1,51 to 100,noValue,noValue,TX,11.24,1.1,4
124,17,2+,51 to 100,40-49,101 to 200,PA,2.47,2.69,4
128,11,2+,101 to 150,noValue,201 to 500,FL,1.51,1.3,3
132,4,2+,101 to 150,40-49,101 to 200,NY,5.51,3.13,2
133,10,2+,51 to 100,noValue,noValue,OH,9.89,0.0,5
139,10,0,0 to 50,20-29,noValue,CA,19.44,2.74,12
150,15,2+,101 to 150,noValue,201 to 500,NY,4.39,7.92,3
153,7,2+,51 to 100,30-39,noValue,MI,11.34,7.19,4
154,14,0,51 to 100,noValue,noValue,MA,9.13,22.97,12
155,17,0,0 to 50,40-49,noValue,SC,2.74,0.0,2
160,10,2+,noValue,noValue,noValue,CA,2.35,1.84,2
169,14,1,51 to 100,noValue,noValue,FL,13.36,1.43,7
174,14,1,noValue,noValue,noValue,VA,9.28,8.75,7
178,3,1,101 to 150,40-49,201 to 500,MI,17.85,1.45,7
181,14,1,51 to 100,40-49,noValue,NY,7.61,4.8,6
182,8,0,101 to 150,noValue,noValue,LA,1.22,8.36,2
